CRASH_DATE,COUNT
2019-02-26,342
2019-02-27,272
2019-02-28,339
2019-03-01,341
2019-03-02,307
2019-03-03,221
2019-03-04,315
2019-03-05,347
2019-03-06,315
2019-03-07,291
2019-03-08,359
2019-03-09,329
2019-03-10,257
2019-03-11,268
2019-03-12,333
2019-03-13,292
2019-03-14,314
2019-03-15,383
2019-03-16,345
2019-03-17,298
2019-03-18,315
2019-03-19,329
2019-03-20,326
2019-03-21,299
2019-03-22,370
2019-03-23,330
2019-03-24,290
2019-03-25,311
2019-03-26,315
2019-03-27,298
2019-03-28,326
2019-03-29,343
2019-03-30,327
2019-03-31,254
2019-04-01,320
2019-04-02,282
2019-04-03,302
2019-04-04,367
2019-04-05,325
2019-04-06,295
2019-04-07,263
2019-04-08,344
2019-04-09,333
2019-04-10,318
2019-04-11,306
2019-04-12,399
2019-04-13,296
2019-04-14,335
2019-04-15,337
2019-04-16,275
2019-04-17,252
2019-04-18,320
2019-04-19,294
2019-04-20,320
2019-04-21,271
2019-04-22,294
2019-04-23,275
2019-04-24,284
2019-04-25,299
2019-04-26,402
2019-04-27,390
2019-04-28,264
2019-04-29,334
2019-04-30,350
2019-05-01,333
2019-05-02,309
2019-05-03,395
2019-05-04,360
2019-05-05,308
2019-05-06,326
2019-05-07,347
2019-05-08,323
2019-05-09,369
2019-05-10,394
2019-05-11,358
2019-05-12,279
2019-05-13,337
2019-05-14,350
2019-05-15,339
2019-05-16,339
2019-05-17,390
2019-05-18,355
2019-05-19,314
2019-05-20,329
2019-05-21,359
2019-05-22,416
2019-05-23,366
2019-05-24,361
2019-05-25,340
2019-05-26,246
2019-05-27,229
2019-05-28,387
2019-05-29,347
2019-05-30,385
2019-05-31,419
2019-06-01,349
2019-06-02,280
2019-06-03,323
2019-06-04,372
2019-06-05,413
2019-06-06,337
2019-06-07,435
2019-06-08,336
2019-06-09,291
2019-06-10,352
2019-06-11,359
2019-06-12,376
2019-06-13,363
2019-06-14,451
2019-06-15,408
2019-06-16,287
2019-06-17,323
2019-06-18,328
2019-06-19,352
2019-06-20,323
2019-06-21,335
2019-06-22,355
2019-06-23,327
2019-06-24,339
2019-06-25,413
2019-06-26,399
2019-06-27,353
2019-06-28,400
2019-06-29,378
2019-06-30,349
2019-07-01,401
2019-07-02,377
2019-07-03,406
2019-07-04,279
2019-07-05,361
2019-07-06,274
2019-07-07,268
2019-07-08,328
2019-07-09,309
2019-07-10,355
2019-07-11,341
2019-07-12,393
2019-07-13,380
2019-07-14,299
2019-07-15,360
2019-07-16,372
2019-07-17,343
2019-07-18,356
2019-07-19,397
2019-07-20,392
2019-07-21,288
2019-07-22,344
2019-07-23,324
2019-07-24,330
2019-07-25,336
2019-07-26,375
2019-07-27,355
2019-07-28,317
2019-07-29,331
2019-07-30,339
2019-07-31,331
2019-08-01,344
2019-08-02,401
2019-08-03,343
2019-08-04,302
2019-08-05,360
2019-08-06,308
2019-08-07,326
2019-08-08,339
2019-08-09,364
2019-08-10,340
2019-08-11,287
2019-08-12,342
2019-08-13,280
2019-08-14,321
2019-08-15,281
2019-08-16,333
2019-08-17,356
2019-08-18,255
2019-08-19,277
2019-08-20,320
2019-08-21,253
2019-08-22,298
2019-08-23,353
2019-08-24,365
2019-08-25,270
2019-08-26,371
2019-08-27,284
2019-08-28,293
2019-08-29,360
2019-08-30,326
2019-08-31,289
2019-09-01,297
2019-09-02,230
2019-09-03,386
2019-09-04,334
2019-09-05,341
2019-09-06,329
2019-09-07,313
2019-09-08,249
2019-09-09,325
2019-09-10,304
2019-09-11,323
2019-09-12,372
2019-09-13,413
2019-09-14,323
2019-09-15,285
2019-09-16,327
2019-09-17,274
2019-09-18,317
2019-09-19,302
2019-09-20,366
2019-09-21,351
2019-09-22,347
2019-09-23,357
2019-09-24,323
2019-09-25,313
2019-09-26,348
2019-09-27,396
2019-09-28,374
2019-09-29,285
2019-09-30,311
2019-10-01,306
2019-10-02,370
2019-10-03,340
2019-10-04,310
2019-10-05,296
2019-10-06,256
2019-10-07,332
2019-10-08,299
2019-10-09,328
2019-10-10,355
2019-10-11,441
2019-10-12,323
2019-10-13,264
2019-10-14,268
2019-10-15,314
2019-10-16,263
2019-10-17,290
2019-10-18,321
2019-10-19,309
2019-10-20,258
2019-10-21,324
2019-10-22,291
2019-10-23,318
2019-10-24,270
2019-10-25,314
2019-10-26,433
2019-10-27,321
2019-10-28,272
2019-10-29,274
2019-10-30,424
2019-10-31,454
2019-11-01,396
2019-11-02,308
2019-11-03,277
2019-11-04,300
2019-11-05,311
2019-11-06,298
2019-11-07,316
2019-11-08,332
2019-11-09,260
2019-11-10,236
2019-11-11,375
2019-11-12,551
2019-11-13,401
2019-11-14,327
2019-11-15,397
2019-11-16,324
2019-11-17,249
2019-11-18,305
2019-11-19,374
2019-11-20,310
2019-11-21,328
2019-11-22,371
2019-11-23,307
2019-11-24,233
2019-11-25,308
2019-11-26,365
2019-11-27,348
2019-11-28,192
2019-11-29,195
2019-11-30,346
2019-12-01,276
2019-12-02,262
2019-12-03,281
2019-12-04,307
2019-12-05,337
2019-12-06,303
2019-12-07,307
2019-12-08,221
2019-12-09,348
2019-12-10,304
2019-12-11,326
2019-12-12,361
2019-12-13,357
2019-12-14,310
2019-12-15,267
2019-12-16,329
2019-12-17,381
2019-12-18,326
2019-12-19,354
2019-12-20,399
2019-12-21,335
2019-12-22,314
2019-12-23,318
2019-12-24,290
2019-12-25,166
2019-12-26,239
2019-12-27,241
2019-12-28,279
2019-12-29,249
2019-12-30,304
